#korona's total length 396.638868940
#lon, lat, nazwa, 'rzutowany' metr walu
19.677261008, 49.980644353, SW_DOWN-242, 214.072309326
19.677260497, 49.980653337, SW_DOWN-243, 215.070921869
19.677259807, 49.980662318, SW_DOWN-244, 215.645044674
19.677257434, 49.980671152, SW_DOWN-245, 215.645044674
19.677254432, 49.980679933, SW_DOWN-246, 216.535748622
19.677251431, 49.980688714, SW_DOWN-247, 217.534588374
19.677247616, 49.980697360, SW_DOWN-248, 218.528485559
19.677243694, 49.980705988, SW_DOWN-249, 219.521725283
19.677239541, 49.980714563, SW_DOWN-250, 220.511864810
19.677234036, 49.980722824, SW_DOWN-251, 221.483895846
19.677228530, 49.980731085, SW_DOWN-252, 221.890659313
19.677223025, 49.980739346, SW_DOWN-253, 221.890659313
19.677216997, 49.980747450, SW_DOWN-254, 221.890659313
19.677210746, 49.980755487, SW_DOWN-255, 222.673534191
19.677204495, 49.980763524, SW_DOWN-256, 223.670483164
19.677197797, 49.980771407, SW_DOWN-257, 224.264235838
19.677190872, 49.980779211, SW_DOWN-258, 224.735915770
19.677183948, 49.980787015, SW_DOWN-259, 225.725419932
19.677175265, 49.980794035, SW_DOWN-260, 226.723989246
19.677166373, 49.980800961, SW_DOWN-261, 227.723630697
19.677157473, 49.980807881, SW_DOWN-262, 227.990414795
19.677146736, 49.980813618, SW_DOWN-263, 228.125684906
19.677135996, 49.980819352, SW_DOWN-264, 229.125631029
19.677125075, 49.980824942, SW_DOWN-265, 230.102718580
19.677114153, 49.980830532, SW_DOWN-266, 230.102718580
19.677102633, 49.980835595, SW_DOWN-267, 230.521265898
19.677091073, 49.980840623, SW_DOWN-268, 231.516491240
19.677079209, 49.980845311, SW_DOWN-269, 232.512921956
19.677066674, 49.980849248, SW_DOWN-270, 233.512023061
19.677054138, 49.980853185, SW_DOWN-271, 234.511124166
19.677041602, 49.980857123, SW_DOWN-272, 235.510225270
19.677028404, 49.980859839, SW_DOWN-273, 235.669503936
19.677014795, 49.980861796, SW_DOWN-274, 235.669503936
19.677001135, 49.980863590, SW_DOWN-275, 235.669503936
19.676987403, 49.980865153, SW_DOWN-276, 236.339551169
19.676973672, 49.980866717, SW_DOWN-277, 237.335653328
19.676959913, 49.980868164, SW_DOWN-278, 238.332617782
19.676946089, 49.980869337, SW_DOWN-279, 239.331629699
19.676932264, 49.980870511, SW_DOWN-280, 240.330641617
19.676918440, 49.980871684, SW_DOWN-281, 241.147176228
19.676904511, 49.980871739, SW_DOWN-282, 241.147176228
19.676890568, 49.980871638, SW_DOWN-283, 241.147176228
19.676876812, 49.980870811, SW_DOWN-284, 241.974726405
19.676863566, 49.980868002, SW_DOWN-285, 242.968218099
19.676850320, 49.980865194, SW_DOWN-286, 243.961709792
19.676837201, 49.980862184, SW_DOWN-287, 244.950860326
19.676824303, 49.980858767, SW_DOWN-288, 245.933566204
19.676811405, 49.980855351, SW_DOWN-289, 246.900383372
19.676798507, 49.980851934, SW_DOWN-290, 246.900383372
19.676785610, 49.980848517, SW_DOWN-291, 246.900383372
19.676773104, 49.980844628, SW_DOWN-292, 246.919642168
19.676761535, 49.980839608, SW_DOWN-293, 247.919560308
19.676749967, 49.980834588, SW_DOWN-294, 248.919478449
19.676738399, 49.980829568, SW_DOWN-295, 249.919396589
19.676726831, 49.980824548, SW_DOWN-296, 250.919314729
19.676715263, 49.980819528, SW_DOWN-297, 251.919232869
19.676704159, 49.980814126, SW_DOWN-298, 252.253528108
19.676693816, 49.980808095, SW_DOWN-299, 252.253528108
19.676683474, 49.980802064, SW_DOWN-300, 252.322592051
19.676673132, 49.980796034, SW_DOWN-301, 253.300492076
19.676662789, 49.980790003, SW_DOWN-302, 254.278392102
19.676654113, 49.980782971, SW_DOWN-303, 255.276750729
19.676645523, 49.980775888, SW_DOWN-304, 256.276003702
19.676636934, 49.980768805, SW_DOWN-305, 257.275256676
19.676628344, 49.980761722, SW_DOWN-306, 257.806942371
19.676621080, 49.980754052, SW_DOWN-307, 257.806942371
19.676613902, 49.980746344, SW_DOWN-308, 257.806942371
19.676608192, 49.980738142, SW_DOWN-309, 257.806942371
19.676602535, 49.980729925, SW_DOWN-310, 258.553984946
19.676597807, 49.980721466, SW_DOWN-311, 259.541860476
19.676594801, 49.980712765, SW_DOWN-312, 260.532875464
19.676593633, 49.980703805, SW_DOWN-313, 261.527241035
19.676592465, 49.980694845, SW_DOWN-314, 262.521606607
19.676591534, 49.980685878, SW_DOWN-315, 263.513625959
19.676591255, 49.980676888, SW_DOWN-316, 263.532484849
19.676590977, 49.980667898, SW_DOWN-317, 263.900912041
19.676590698, 49.980658909, SW_DOWN-318, 264.900787670
19.676590419, 49.980649919, SW_DOWN-319, 265.900663298
19.676590079, 49.980640930, SW_DOWN-320, 266.900458722
19.676589732, 49.980631942, SW_DOWN-321, 267.900244582
19.676589385, 49.980622953, SW_DOWN-322, 268.900030442
19.676589037, 49.980613965, SW_DOWN-323, 269.899816302
19.676588690, 49.980604976, SW_DOWN-324, 270.899602162
19.676588343, 49.980595987, SW_DOWN-325, 271.954519039
19.676587995, 49.980586999, SW_DOWN-326, 272.954415328
19.676587648, 49.980578010, SW_DOWN-327, 273.954311618
19.676587301, 49.980569022, SW_DOWN-328, 274.954207907
19.676586953, 49.980560033, SW_DOWN-329, 275.954104196
19.676586606, 49.980551044, SW_DOWN-330, 276.954000485
19.676586259, 49.980542056, SW_DOWN-331, 277.953896775
19.676585911, 49.980533067, SW_DOWN-332, 278.953793064
19.676585641, 49.980524078, SW_DOWN-333, 279.953732641
19.676585477, 49.980515087, SW_DOWN-334, 280.953731864
19.676585313, 49.980506096, SW_DOWN-335, 281.953731088
19.676585149, 49.980497105, SW_DOWN-336, 282.953730312
19.676584986, 49.980488115, SW_DOWN-337, 283.953729536
19.676584822, 49.980479124, SW_DOWN-338, 284.953728760
19.676584658, 49.980470133, SW_DOWN-339, 285.953727984
19.676584494, 49.980461142, SW_DOWN-340, 286.953727208
19.676584330, 49.980452151, SW_DOWN-341, 287.953726431
19.676584166, 49.980443161, SW_DOWN-342, 288.953725655
19.676584002, 49.980434170, SW_DOWN-343, 289.998343506
19.676583838, 49.980425179, SW_DOWN-344, 290.998336369
19.676583674, 49.980416188, SW_DOWN-345, 291.998329231
19.676583510, 49.980407198, SW_DOWN-346, 292.998322094
19.676583346, 49.980398207, SW_DOWN-347, 293.998314957
19.676583182, 49.980389216, SW_DOWN-348, 294.998307881
19.676583016, 49.980380225, SW_DOWN-349, 295.998301498
19.676582849, 49.980371235, SW_DOWN-350, 296.998295114
19.676582682, 49.980362244, SW_DOWN-351, 297.998288731
19.676582515, 49.980353253, SW_DOWN-352, 298.998282347
19.676582349, 49.980344262, SW_DOWN-353, 299.998275964
19.676582182, 49.980335272, SW_DOWN-354, 300.998269581
19.676582015, 49.980326281, SW_DOWN-355, 301.998263197
19.676581848, 49.980317290, SW_DOWN-356, 302.998256814
19.676581681, 49.980308299, SW_DOWN-357, 303.998250430
19.676581515, 49.980299309, SW_DOWN-358, 304.998244047
19.676581348, 49.980290318, SW_DOWN-359, 306.072016721
19.676581181, 49.980281327, SW_DOWN-360, 307.071945460
19.676581014, 49.980272336, SW_DOWN-361, 308.071874199
19.676580848, 49.980263346, SW_DOWN-362, 309.071802937
19.676580819, 49.980254355, SW_DOWN-363, 310.071514472
19.676580931, 49.980245364, SW_DOWN-364, 311.071005643
19.676581042, 49.980236372, SW_DOWN-365, 312.070496813
19.676581154, 49.980227381, SW_DOWN-366, 313.069987984
19.676581265, 49.980218390, SW_DOWN-367, 314.069479155
19.676581377, 49.980209399, SW_DOWN-368, 315.068970326
19.676581489, 49.980200408, SW_DOWN-369, 316.068461496
19.676581600, 49.980191417, SW_DOWN-370, 317.011513080
19.676581712, 49.980182426, SW_DOWN-371, 317.851903806
19.676581823, 49.980173435, SW_DOWN-372, 318.851882035
19.676581839, 49.980164444, SW_DOWN-373, 319.851846085
19.676581709, 49.980155453, SW_DOWN-374, 320.851788487
19.676581579, 49.980146462, SW_DOWN-375, 321.851730889
19.676581449, 49.980137471, SW_DOWN-376, 322.851673291
19.676581319, 49.980128480, SW_DOWN-377, 323.851615693
19.676581189, 49.980119489, SW_DOWN-378, 324.851558094
19.676581059, 49.980110498, SW_DOWN-379, 325.851500497
19.676580929, 49.980101507, SW_DOWN-380, 326.851442899
19.676580799, 49.980092516, SW_DOWN-381, 327.851385300
19.676580669, 49.980083525, SW_DOWN-382, 328.851327702
19.676580539, 49.980074534, SW_DOWN-383, 329.851270104
19.676580409, 49.980065543, SW_DOWN-384, 330.851212506
19.676580279, 49.980056552, SW_DOWN-385, 331.851154908
19.676580148, 49.980047561, SW_DOWN-386, 332.851097310
19.676580018, 49.980038570, SW_DOWN-387, 334.006111962
19.676579888, 49.980029579, SW_DOWN-388, 335.006086392
19.676579758, 49.980020588, SW_DOWN-389, 336.006060823
19.676579628, 49.980011597, SW_DOWN-390, 337.006035254
19.676579498, 49.980002606, SW_DOWN-391, 338.006009683
19.676579368, 49.979993615, SW_DOWN-392, 339.005984114
19.676579238, 49.979984624, SW_DOWN-393, 340.005958544
19.676579094, 49.979975633, SW_DOWN-394, 341.005939224
19.676578934, 49.979966642, SW_DOWN-395, 342.005926477
19.676578775, 49.979957651, SW_DOWN-396, 343.005913729
19.676578616, 49.979948660, SW_DOWN-397, 344.005900981
19.676578456, 49.979939670, SW_DOWN-398, 345.005888233
19.676578297, 49.979930679, SW_DOWN-399, 346.005875485
19.676578137, 49.979921688, SW_DOWN-400, 347.005862738
19.676577978, 49.979912697, SW_DOWN-401, 348.005849989
19.676577819, 49.979903706, SW_DOWN-402, 349.005837242
19.676577659, 49.979894715, SW_DOWN-403, 350.005824494
19.676577500, 49.979885725, SW_DOWN-404, 351.005811746
19.676577341, 49.979876734, SW_DOWN-405, 352.071335591
19.676577181, 49.979867743, SW_DOWN-406, 353.071254873
19.676577022, 49.979858752, SW_DOWN-407, 354.071174156
19.676576862, 49.979849761, SW_DOWN-408, 355.071093438
19.676576703, 49.979840771, SW_DOWN-409, 356.071012721
19.676576544, 49.979831780, SW_DOWN-410, 357.070932004
19.676576384, 49.979822789, SW_DOWN-411, 358.070851287
19.676576225, 49.979813798, SW_DOWN-412, 359.070770569
19.676576066, 49.979804807, SW_DOWN-413, 360.070689851
19.676575906, 49.979795817, SW_DOWN-414, 361.070609134
19.676575747, 49.979786826, SW_DOWN-415, 362.070528417
19.676575588, 49.979777835, SW_DOWN-416, 363.070447699
19.676575428, 49.979768844, SW_DOWN-417, 364.070366982
19.676575269, 49.979759853, SW_DOWN-418, 365.070286265
19.676575109, 49.979750863, SW_DOWN-419, 366.070205548
19.676574950, 49.979741872, SW_DOWN-420, 367.070124829
19.676574791, 49.979732881, SW_DOWN-421, 367.895911969
19.676574631, 49.979723890, SW_DOWN-422, 368.895878909
19.676574472, 49.979714899, SW_DOWN-423, 369.895845850
19.676574426, 49.979705908, SW_DOWN-424, 370.895808797
19.676574507, 49.979696917, SW_DOWN-425, 371.895767308
19.676574588, 49.979687926, SW_DOWN-426, 372.895725819
19.676574669, 49.979678935, SW_DOWN-427, 373.895684330
19.676574751, 49.979669943, SW_DOWN-428, 374.895642842
19.676574806, 49.979660952, SW_DOWN-429, 375.895604377
